"full_name","variable","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"Brandon Tate","air_yds",NA,NA,NA,NA,NA,4,29,30,NA,NA,25,-4,9,NA,NA,NA,NA
"Brandon Tate","yac_yds",NA,NA,NA,NA,NA,0,2,5,NA,NA,29,12,4,NA,NA,NA,NA
"Brandon Tate","fpts_ppr",0,0,0,0.4,0,0,5.1,5.1,NA,NA,6.8,1.8,2.3,0,3,0,0
"Braxton Miller","receiving_tar",3,3,NA,NA,1,4,0,3,NA,2,7,3,2,NA,NA,NA,NA
"Braxton Miller","receiving_rec",1,1,NA,NA,1,2,0,3,NA,1,5,1,0,NA,NA,NA,NA
"Braxton Miller","receiving_yds",6,3,NA,NA,12,13,0,18,NA,10,25,12,0,NA,NA,NA,NA
"Braxton Miller","receiving_tds",0,0,NA,NA,0,0,0,0,NA,0,1,0,0,NA,NA,NA,NA
"Braxton Miller","air_yds",15,10,NA,NA,-4,36,NA,2,NA,15,33,59,37,NA,NA,NA,NA
"Braxton Miller","yac_yds",2,1,NA,NA,16,2,NA,16,NA,0,6,9,0,NA,NA,NA,NA
"Braxton Miller","fpts_ppr",1.6,1.1,NA,NA,2.2,3.3,0,4.8,NA,2,13.6,2.3,0,NA,NA,NA,NA
"Brenton Bersin","receiving_tar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5
"Brenton Bersin","receiving_rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"Brenton Bersin","receiving_yds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,10
"Brenton Bersin","receiving_tds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Brenton Bersin","air_yds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,66
"Brenton Bersin","yac_yds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0
"Brenton Bersin","fpts_ppr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,2
"Breshad Perriman","receiving_tar",2,5,4,5,5,8,5,NA,4,4,NA,3,3,4,1,5,8
"Breshad Perriman","receiving_rec",1,2,2,3,2,3,1,NA,3,3,NA,1,2,3,0,3,4
"Breshad Perriman","receiving_yds",35,32,22,24,11,48,11,NA,33,64,NA,14,59,52,0,32,62
"Breshad Perriman","receiving_tds",0,0,0,0,0,0,0,NA,0,1,NA,1,1,0,0,0,0
"Breshad Perriman","air_yds",37,106,49,33,92,100,78,NA,52,39,NA,56,16,62,6,70,103
"Breshad Perriman","yac_yds",6,5,0,9,2,9,4,NA,7,30,NA,0,49,3,0,2,46
"Breshad Perriman","fpts_ppr",4.5,5.2,4.4,5.4,3.1,7.8,2.1,NA,6.3,15.4,NA,8.4,13.9,8.2,0,6.2,10.2
"Brian Quick","receiving_tar",5,1,2,6,4,5,9,NA,6,4,5,3,8,3,5,4,7
"Brian Quick","receiving_rec",3,1,2,2,3,5,4,NA,4,2,3,1,5,1,3,0,2
"Brian Quick","receiving_yds",23,8,53,69,51,61,92,NA,48,16,21,3,48,10,46,0,15
"Brian Quick","receiving_tds",0,0,1,2,0,0,0,NA,0,0,0,0,0,0,0,0,0
"Brian Quick","air_yds",39,8,48,100,73,22,140,NA,107,23,50,10,70,18,58,35,64
"Brian Quick","yac_yds",6,0,5,52,16,39,10,NA,15,3,4,0,10,4,12,0,1
"Brian Quick","fpts_ppr",5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8,3.6,5.1,1.3,9.8,2,7.6,0,3.5
"Brice Butler","receiving_tar",2,1,1,9,3,3,NA,3,1,NA,2,2,NA,1,1,1,2
"Brice Butler","receiving_rec",1,0,0,5,2,1,NA,1,1,NA,2,0,NA,0,1,1,1
"Brice Butler","receiving_yds",16,0,0,41,20,20,NA,19,9,NA,49,0,NA,0,21,21,3
"Brice Butler","receiving_tds",0,0,0,1,0,1,NA,0,0,NA,0,0,NA,0,0,1,0
"Brice Butler","air_yds",31,3,31,61,20,67,NA,26,7,NA,42,58,NA,31,21,21,17
"Brice Butler","yac_yds",4,0,0,3,0,0,NA,0,2,NA,7,0,NA,0,0,0,3
"Brice Butler","fpts_ppr",2.6,0,0,15.1,4,9,NA,2.9,1.9,NA,6.9,0,NA,0,3.1,9.1,1.3
"Brittan Golden","receiving_tar",NA,NA,NA,NA,0,0,1,2,NA,0,0,3,0,1,2,2,3
"Brittan Golden","receiving_rec",NA,NA,NA,NA,0,0,0,2,NA,0,0,1,0,1,2,1,1
"Brittan Golden","receiving_yds",NA,NA,NA,NA,0,0,0,29,NA,0,0,-1,0,9,23,22,0
"Brittan Golden","receiving_tds",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,1,0,0,0
"Brittan Golden","air_yds",NA,NA,NA,NA,NA,NA,6,25,NA,NA,NA,34,NA,9,19,54,33
"Brittan Golden","yac_yds",NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,0,NA,0,4,2,2
"Brittan Golden","fpts_ppr",NA,NA,NA,NA,0,0,0,4.9,NA,0,0,0.9,0,7.9,2.3,3.2,1
"Bryan Walters","receiving_tar",NA,NA,NA,1,NA,0,NA,2,1,NA,NA,0,6,4,5,6,9
"Bryan Walters","receiving_rec",NA,NA,NA,0,NA,0,NA,2,0,NA,NA,0,3,4,2,5,8
"Bryan Walters","receiving_yds",NA,NA,NA,0,NA,0,NA,14,0,NA,NA,0,31,31,26,45,84
"Bryan Walters","receiving_tds",NA,NA,NA,0,NA,0,NA,1,0,NA,NA,0,0,1,0,0,0
"Bryan Walters","air_yds",NA,NA,NA,12,NA,NA,NA,13,5,NA,NA,NA,28,27,80,23,54
"Bryan Walters","yac_yds",NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,22,4,1,25,45
"Bryan Walters","fpts_ppr",NA,NA,NA,0,NA,0,NA,9.4,-2,NA,NA,0,6.1,13.1,4.6,9.5,16.8
"Bryce Treggs","receiving_tar",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,3,NA,NA,0,1,2
"Bryce Treggs","receiving_rec",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,1,NA,NA,0,0,0
"Bryce Treggs","receiving_yds",NA,NA,NA,NA,NA,NA,NA,NA,69,NA,0,11,NA,NA,0,0,0
"Bryce Treggs","receiving_tds",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0
"Bryce Treggs","air_yds",NA,NA,NA,NA,NA,NA,NA,NA,135,NA,99,26,NA,NA,NA,38,41
"Bryce Treggs","yac_yds",NA,NA,NA,NA,NA,NA,NA,NA,8,NA,0,8,NA,NA,NA,0,0
"Bryce Treggs","fpts_ppr",NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,0,2.4,NA,NA,0.4,0,0
